,country,song,artist,year,points,running_order,place,points_normalized
364,Finland,Katson Sineen Taivaan,Katri-Helena,1979,0.050131924,5,14,0.050131924
365,Italy,Raggio Di Luna,Matia Bazar,1979,0.035620052,2,15,0.035620052
366,Monaco,"Notre Vie, C'est La Musique",Laurent Vaguener,1979,0.015831135,6,16,0.015831135
367,Sweden,Satellit,Ted Gärdestad,1979,0.01055409,15,17,0.01055409
368,Belgium,Hey Nana,Micha Marah,1979,0.006596306,12,18,0.006596306
369,Austria,Heute In Jerusalem,Christina Simon,1979,0.006596306,18,18,0.006596306
370,Ireland,What's Another Year,Johnny Logan,1980,0.18865435,17,1,0.18865435
371,Germany,Theater,Katja Ebstein,1980,0.16886544,12,2,0.16886544
372,United Kingdom,Love Enough For Two,Prima Donna,1980,0.13984169,13,3,0.13984169
373,Switzerland,Cinéma,Paola,1980,0.13720317,9,4,0.13720317
374,Netherlands,Amsterdam,Maggie MacNeal,1980,0.122691296,15,5,0.122691296
375,Italy,Non So Che Darei,Alan Sorrenti,1980,0.114775725,6,6,0.114775725
376,Portugal,"Um Grande, Grande Amor",José Cid,1980,0.093667544,14,7,0.093667544
377,Austria,Du Bist Musik,Blue Danube,1980,0.08443272,1,8,0.08443272
378,Luxembourg,Papa Pingouin,Sophie and Magaly,1980,0.07387863,4,9,0.07387863
379,Sweden,Just Nu!,Tomas Ledin,1980,0.062005278,8,10,0.062005278
380,France,"Hé, Hé M'sieurs Dames",Profil,1980,0.059366755,16,11,0.059366755
381,Spain,Quédate Esta Noche,Trigo Limpio,1980,0.050131924,18,12,0.050131924
382,Greece,Otostop,Anna Vissi and the Epikouri,1980,0.039577838,3,13,0.039577838
383,Denmark,Tænker Altid På Dig,Bamses Venner,1980,0.03298153,7,14,0.03298153
384,Turkey,Petr'oil,Ajda Pekkan,1980,0.030343007,2,15,0.030343007
385,Norway,Sámiid Ædnan,Sverre Kjellsberg & Mattis Hætta,1980,0.019788919,11,16,0.019788919
386,Belgium,Euro-vision,Telex,1980,0.018469658,19,17,0.018469658
387,Morocco,Bitakat Hob,Samira Bensaïd,1980,0.009234829,5,18,0.009234829
388,Finland,Huilumies,Vesa-Matti Loiri,1980,0.007915568,10,19,0.007915568
389,United Kingdom,Making Your Mind Up,Bucks Fizz,1981,0.17941953,14,1,0.17941953
390,Germany,Johnny Blue,Lena Valaitis,1981,0.17414248,3,2,0.17414248
391,France,Humanahum,Jean Gabilou,1981,0.16490765,9,3,0.16490765
392,Switzerland,Io Senza Tei,"Peter, Sue & Marc",1981,0.15963061,19,4,0.15963061
393,Ireland,Horoscopes,Sheeba,1981,0.13852243,12,5,0.13852243
394,Cyprus,Monika,Island,1981,0.091029026,18,6,0.091029026
395,Israel,Halaylah,Habibi,1981,0.07387863,5,7,0.07387863
396,Greece,Feggari Kalokerino,Yiannis Dimitras,1981,0.072559364,17,8,0.072559364
397,Netherlands,Het Is Een Wonder,Linda Williams,1981,0.06728232,11,9,0.06728232
398,Sweden,Fångad I En Dröm,Björn Skifs,1981,0.06596306,20,10,0.06596306
399,Luxembourg,C'est Peut-être Pas L'Amérique,Jean-Claude Pascal,1981,0.05408971,4,11,0.05408971
400,Denmark,Krøller Eller Ej,Debbie Cameron & Tommy Seebach,1981,0.05408971,6,11,0.05408971
401,Belgium,Samson,Emly Starr,1981,0.052770447,16,13,0.052770447
402,Spain,Y Solo Tú,Bacchelli,1981,0.050131924,10,14,0.050131924
403,Yugoslavia,Leila,Seid-Memic Vajta,1981,0.046174143,7,15,0.046174143
404,Finland,Reggae O.k.,Riki Sorsa,1981,0.035620052,8,16,0.035620052
405,Austria,Wenn Du Da Bist,Marty Brem,1981,0.026385223,1,17,0.026385223
406,Turkey,Dönme Dolap,Modern Folk Trio and Aysegül,1981,0.0118733505,2,18,0.0118733505
407,Portugal,Play-back,Carlos Paião,1981,0.0118733505,15,18,0.0118733505
408,Norway,Aldri i Livet,Finn Kalvik,1981,0.0,13,20,0.0
409,Germany,Ein Bißchen Frieden,Nicole,1982,0.21240106,18,1,0.21240106
410,Israel,Hora,Avi Toledano,1982,0.13192612,15,2,0.13192612
411,Switzerland,Amour On T'aime,Arlette Zola,1982,0.12796834,7,3,0.12796834
412,Belgium,Si Tu Aimes Ma Musique,Stella,1982,0.12664908,11,4,0.12664908
413,Cyprus,Mono I Agapi,Anna Vissi,1982,0.112137206,8,5,0.112137206
414,Luxembourg,Cour Apres Le Temps,Svetlana,1982,0.102902375,2,6,0.102902375
415,United Kingdom,One Step Further,Bardo,1982,0.10026385,4,7,0.10026385
416,Sweden,Dag Efter Dag,Chips,1982,0.0883905,9,8,0.0883905
417,Austria,Sonntag,Mess,1982,0.07519789,10,9,0.07519789
418,Spain,Él,Lucía,1982,0.068601586,12,10,0.068601586
419,Ireland,"Here Today, Gone Tomorrow",The Duskeys,1982,0.0646438,17,11,0.0646438
420,Norway,Adieu,Jahn Teigen & Anita Skorgan,1982,0.052770447,3,12,0.052770447
421,Portugal,Bem-bom,Doce,1982,0.04221636,1,13,0.04221636
422,Yugoslavia,Halo Halo,Aska,1982,0.027704485,14,14,0.027704485
423,Turkey,Hani,Neço,1982,0.026385223,5,15,0.026385223
424,Netherlands,Jij En Ik,Bill van Dijk,1982,0.01055409,16,16,0.01055409
425,Denmark,Video-video,Brixx,1982,0.006596306,13,17,0.006596306
426,Finland,Nuku Pommiin,Kojo,1982,0.0,6,18,0.0
427,Luxembourg,Si La Vie Est Cadeau,Corinne Hermès,1983,0.18733509,20,1,0.18733509
428,Israel,Hi,Ofra Haza,1983,0.17941953,16,2,0.17941953
429,Sweden,Främling,Carola Häggkvist,1983,0.16622691,4,3,0.16622691
430,Yugoslavia,Dzuli,Danijel,1983,0.16490765,12,4,0.16490765
431,Germany,Rücksicht,Hoffmann und Hoffmann,1983,0.124010555,14,5,0.124010555
432,United Kingdom,I'm Never Giving Up,Sweet Dreams,1983,0.104221635,3,6,0.104221635
433,Netherlands,Sing Me A Song,Bernadette,1983,0.08707124,11,7,0.08707124
434,France,Vivre,Guy Bonnet,1983,0.07387863,1,8,0.07387863
435,Norway,Do Re Mi,Jahn Teigen,1983,0.069920845,2,9,0.069920845
436,Austria,Hurricane,Westend,1983,0.069920845,18,9,0.069920845
437,Italy,Per Lucia,Riccardo Fogli,1983,0.05408971,5,11,0.05408971
438,Finland,Fantasiaa,Ami Aspelund,1983,0.05408971,9,11,0.05408971
439,Portugal,Esta Balada Que Te Dou,Armando Gama,1983,0.04353562,17,13,0.04353562
440,Greece,Mou Les,Christie Stassinopoulou,1983,0.04221636,10,14,0.04221636
441,Switzerland,Io Così Non Ci Sto,Mariella Farré,1983,0.036939315,8,15,0.036939315
442,Cyprus,I Agapi Akoma Zi,Stavros and Constantina,1983,0.034300793,13,16,0.034300793
443,Denmark,Kloden Drejer,Gry Johansen,1983,0.02110818,15,17,0.02110818
444,Belgium,Rendez-vous,Pas de Deux,1983,0.017150396,19,18,0.017150396
445,Turkey,Opera,Çetin Alp and the Short Wave,1983,0.0,6,19,0.0
446,Spain,¿Quién Maneja Mi Barca?,Remedios Amaya,1983,0.0,7,19,0.0
447,Sweden,Diggi-loo Diggy-ley,Herrey's,1984,0.19129288,1,1,0.19129288
448,Ireland,Terminal '3',Linda Martin,1984,0.18073879,9,2,0.18073879
449,Spain,"Lady, Lady",Bravo,1984,0.13984169,4,3,0.13984169
450,Denmark,Det' Lige Det,Hot Eyes,1984,0.13324538,10,4,0.13324538
451,Belgium,Avanti La Vie,Jacques Zegers,1984,0.092348285,8,5,0.092348285
452,Italy,I Treni Di Tozeur,Alice & Battiato,1984,0.092348285,18,5,0.092348285
453,United Kingdom,Love Games,Belle and the Devotions,1984,0.083113454,6,7,0.083113454
454,France,Autant D'amoureux Que D'étoiles,Annick Thoumazeau,1984,0.080474935,3,8,0.080474935
455,Finland,Hengaillaan,Kirka,1984,0.060686015,16,9,0.060686015
456,Luxembourg,100% D'amour,Sophie Carle,1984,0.051451188,2,10,0.051451188
457,Portugal,Silêncio E Tanta Gente,Maria Guinot,1984,0.050131924,19,11,0.050131924
458,Turkey,Halay,"Bes Yil Önce, On Yil Sonra",1984,0.048812665,15,12,0.048812665
459,Netherlands,Ik Hou Van Jou,Maribelle,1984,0.044854883,11,13,0.044854883
460,Germany,Aufrecht Geh'n,Mary Roos,1984,0.044854883,14,13,0.044854883
461,Cyprus,Anna Maria Lena,Andy Paul,1984,0.040897097,7,15,0.040897097
462,Switzerland,Welche Farbe Hat Der Sonnenschein,Rainy Day,1984,0.039577838,17,16,0.039577838
463,Norway,Lenge Leve Livet,Dollie de Luxe,1984,0.038258575,5,17,0.038258575
464,Yugoslavia,Ciao Amore,Vlado and Isolda,1984,0.034300793,12,18,0.034300793
465,Austria,Einfach Weg,Anita,1984,0.006596306,13,19,0.006596306
466,Norway,La Det Swinge,Bobbysocks,1985,0.16226913,13,1,0.16226913
467,Germany,Für Alle,Wind,1985,0.13852243,10,2,0.13852243
468,Sweden,Bra Vibrationer,Kikki Danielsson,1985,0.13588391,16,3,0.13588391
469,United Kingdom,Love Is...,Vikki,1985,0.13192612,14,4,0.13192612
470,Israel,Olé Olé,Izhar Cohen,1985,0.122691296,11,5,0.122691296
471,Ireland,Wait Until The Weekend Comes,Maria Christian,1985,0.12005277,1,6,0.12005277
472,Italy,"Magic, Oh Magic",Al Bano and Romina Power,1985,0.102902375,12,7,0.102902375
473,Austria,Kinder Dieser Welt,Gary Lux,1985,0.079155676,17,8,0.079155676
474,Finland,Eläköön Elämä,Sonja Lumme,1985,0.07651715,2,9,0.07651715
475,France,Femme Dans Ses Rêves Aussi,Roger Bens,1985,0.07387863,6,10,0.07387863
476,Denmark,Sku' du spørg' fra no'en,Hot Eyes,1985,0.05408971,4,11,0.05408971
477,Switzerland,Piano Piano,Mariella Farré & Pino Gasparini,1985,0.051451188,15,12,0.051451188
478,Luxembourg,"Children, Kinder, Enfants","Margo, Franck, Diane, Ireen, Malcolm & Chris",1985,0.048812665,18,13,0.048812665
479,Spain,La Fiesta Terminó,Paloma San Basilio,1985,0.047493402,5,14,0.047493402
480,Turkey,Di Dai Di Dai Dai (Aşık oldum),MFÖ,1985,0.047493402,7,14,0.047493402
481,Cyprus,To Katalava Arga,Lia Vishy,1985,0.019788919,3,16,0.019788919
482,Greece,Miazoume,Takis Biniaris,1985,0.019788919,19,16,0.019788919
483,Portugal,"Penso Em Ti, Eu Sei",Adelaïde,1985,0.0118733505,9,18,0.0118733505
484,Belgium,Laat Me Nu Gaan,Linda Lepomme,1985,0.009234829,8,19,0.009234829
485,Belgium,J'aime La Vie,Sandra Kim,1986,0.23218997,13,1,0.23218997
486,Switzerland,Pas Pour Moi,Daniela Simons,1986,0.18469657,10,2,0.18469657
487,Luxembourg,L'amour De Ma Vie,Sherisse Laurence,1986,0.15435356,1,3,0.15435356
488,Ireland,You Can Count On Me,Luv Bug,1986,0.12664908,12,4,0.12664908
489,Sweden,E' De' Det Här Du Kallar Kärlek,Lasse Holm & Monica Törnell,1986,0.102902375,17,5,0.102902375
490,Denmark,Du Er Fuld Af Løgn,Lise Haavik & Trax,1986,0.101583116,18,6,0.101583116
491,United Kingdom,Runner In The Night,Ryder,1986,0.094986804,5,7,0.094986804
492,Germany,Über Die Brücke Geh'n,Ingrid Peters,1986,0.081794195,14,8,0.081794195
493,Turkey,Halley,Klips & Onlar,1986,0.069920845,8,9,0.069920845
494,Spain,Valentino,Cadillac,1986,0.06728232,9,10,0.06728232
495,Yugoslavia,Željo Moja,Doris Dragović,1986,0.0646438,2,11,0.0646438
496,Norway,Romeo,Ketil Stokkan,1986,0.058047492,4,12,0.058047492
497,Netherlands,Alles Heeft Ritme,Frizzle Sizzle,1986,0.052770447,7,13,0.052770447
498,Portugal,Não Sejas Mau Para Mim,Dora,1986,0.036939315,20,14,0.036939315
499,Finland,Päivä Kahden Ihmisen,Kari Kuivalainen,1986,0.029023746,19,15,0.029023746
500,Iceland,Gleðibankinn,Icy,1986,0.025065962,6,16,0.025065962
501,France,Européennes,Cocktail Chic,1986,0.017150396,3,17,0.017150396
502,Austria,Die Zeit Ist Einsam,Timna Brauer,1986,0.015831135,16,18,0.015831135
503,Israel,Yavoh Yom,Moti Galadi and Sarai Tzuriel,1986,0.009234829,11,19,0.009234829
504,Cyprus,Tora Zo,Elpida,1986,0.005277045,15,20,0.005277045
505,Ireland,Hold Me Now,Johnny Logan,1987,0.22691293,20,1,0.22691293
506,Germany,Laß Die Sonne In Dein Herz,Wind,1987,0.18601583,16,2,0.18601583
507,Italy,Gente Di Mare,Umberto Tozzi and Raf,1987,0.13588391,7,3,0.13588391
508,Yugoslavia,Ja Sam Za Ples,Novi Fosili,1987,0.12137203,21,4,0.12137203
509,Netherlands,Rechtop In De Wind,Marcha,1987,0.10949868,12,5,0.10949868
510,Denmark,En Lille Melodi,Anne-Cathrine Herdorf,1987,0.10949868,19,5,0.10949868
511,Cyprus,Aspro Mavro,Alexia,1987,0.105540894,17,7,0.105540894
512,Israel,Shir Habatlanim,Datner & Kushnir,1987,0.09630607,2,8,0.09630607
513,Norway,Mitt Liv,Kate Gulbrandsen,1987,0.08575198,1,9,0.08575198
514,Greece,Stop!,Bang,1987,0.08443272,11,10,0.08443272
515,Belgium,Soldiers Of Love,Liliane Saint-Pierre,1987,0.07387863,5,11,0.07387863
516,Sweden,Boogaloo,Lotta Engberg,1987,0.06596306,6,12,0.06596306
517,United Kingdom,Only The Light,Rikki,1987,0.062005278,14,13,0.062005278
518,France,Les Mots D'amour N'ont Pas De Dimanche,Christine Minier,1987,0.058047492,15,14,0.058047492
519,Finland,Sata Salamaa,Vicky Rosti,1987,0.04221636,18,15,0.04221636
520,Iceland,Hægt Og Hljótt,Halla Margarét,1987,0.036939315,4,16,0.036939315
521,Switzerland,Moitié Moitié,Carole Rich,1987,0.034300793,22,17,0.034300793
522,Portugal,Neste Barco à Vela,Nevada,1987,0.019788919,8,18,0.019788919
523,Spain,No Estás Solo,Patricia Kraus,1987,0.013192612,9,19,0.013192612
524,Austria,Nur Noch Gefühl,Gary Lux,1987,0.01055409,3,20,0.01055409
525,Luxembourg,Amour Amour,Plastic Bertrand,1987,0.005277045,13,21,0.005277045
526,Turkey,Şarkım sevgi üstüne,Seyyal Taner & Lokomotif,1987,0.0,10,22,0.0
527,Switzerland,Ne Partez Pas Sans Moi,Céline Dion,1988,0.18073879,9,1,0.18073879
528,United Kingdom,Go,Scott Fitzgerald,1988,0.17941953,4,2,0.17941953
529,Denmark,Ka' Du Se Hva' Jeg Sa',Kirsten & Søren,1988,0.12137203,13,3,0.12137203
530,Luxembourg,Croire,Lara Fabian,1988,0.11873351,17,4,0.11873351
531,Norway,For Vår Jord,Karoline Krüger,1988,0.116094984,15,5,0.116094984
532,Yugoslavia,Mangup,Srebrna Krila,1988,0.114775725,21,6,0.114775725
533,Israel,Ben Adam,Yardena Arazi,1988,0.112137206,8,7,0.112137206
534,Ireland,Take Him Home,Jump the Gun,1988,0.104221635,10,8,0.104221635
535,Netherlands,Shangri-la,Gerard Joling,1988,0.092348285,7,9,0.092348285
536,France,Chanteur De Charme,Gérard Lenorman,1988,0.08443272,19,10,0.08443272
537,Spain,La Chica Que Yo Quiero (made In Spain),La Década,1988,0.07651715,6,11,0.07651715
538,Sweden,Stad I Ljus,Tommy Körberg,1988,0.068601586,2,12,0.068601586
539,Italy,Ti Scrivo,Luca Barbarossa,1988,0.068601586,18,12,0.068601586
540,Germany,Lied Für Einen Freund,Maxi & Chris Garden,1988,0.06332454,11,14,0.06332454
541,Turkey,Sufi,MFÖ,1988,0.048812665,5,15,0.048812665
542,Iceland,Sókrates,Beathoven,1988,0.026385223,1,16,0.026385223
543,Greece,Kloun,Aphroditi Fryda,1988,0.013192612,14,17,0.013192612
544,Belgium,Laissez Briller Le Soleil,Reynaert,1988,0.006596306,16,18,0.006596306
545,Portugal,Voltarei,Dora,1988,0.006596306,20,18,0.006596306
546,Finland,Nauravat Silmät Muistetaan,Boulevard,1988,0.003957784,3,20,0.003957784
547,Austria,Lisa Mona Lisa,Wilfried,1988,0.0,12,21,0.0
548,Yugoslavia,Rock Me,Riva,1989,0.18073879,22,1,0.18073879
549,United Kingdom,Why Do I Always Get It Wrong,Live Report,1989,0.17150396,7,2,0.17150396
550,Denmark,Vi Maler Byen Rød,Birthe Kjær,1989,0.14643799,12,3,0.14643799
551,Sweden,En Dag,Tommy Nilsson,1989,0.14511873,10,4,0.14511873
552,Austria,Nur Ein Lied,Thomas Forstner,1989,0.12796834,13,5,0.12796834
553,Spain,Nacida Para Amar,Nina,1989,0.116094984,16,6,0.116094984
554,Finland,La Dolce Vita,Anneli Saaristo,1989,0.10026385,14,7,0.10026385
555,France,J'ai Volé La Vie,Nathalie Pâque,1989,0.079155676,15,8,0.079155676
556,Italy,Avrei Voluto,Anna Oxa and Fausto Leali,1989,0.07387863,1,9,0.07387863
557,Greece,To Diko Sou Asteri,Marianna,1989,0.07387863,19,9,0.07387863
558,Cyprus,Apopse As Vrethoume,Fanny Polymeri and Yiannis Savvidakis,1989,0.06728232,17,11,0.06728232
559,Israel,Derech Ha'melech,Gili & Galit,1989,0.06596306,2,12,0.06596306
560,Switzerland,Viver Senza Tei,Furbaz,1989,0.062005278,18,13,0.062005278
561,Germany,Flieger,Nino de Angelo,1989,0.060686015,21,14,0.060686015
562,Netherlands,Blijf Zoals Je Bent,Justine Pelmelay,1989,0.059366755,4,15,0.059366755
563,Portugal,Conquistador,Da Vinci,1989,0.051451188,9,16,0.051451188
564,Norway,Venners Nærhet,Britt Synnøve Johansen,1989,0.039577838,8,17,0.039577838
565,Ireland,The Real Me,Kiev Connolly and the Missing Passengers,1989,0.027704485,3,18,0.027704485
566,Belgium,Door De Wind,Ingeborg,1989,0.017150396,6,19,0.017150396
567,Luxembourg,Monsieur,Park Café,1989,0.01055409,11,20,0.01055409
568,Turkey,Bana Bana,Pan,1989,0.006596306,5,21,0.006596306
569,Iceland,Það Sem Enginn Sér,Daníel Augúst Haraldsson,1989,0.0,20,22,0.0
570,Italy,Insieme: 1992,Toto Cutugno,1990,0.19656992,19,1,0.19656992
571,France,White And Black Blues,Joelle Ursull,1990,0.17414248,14,2,0.17414248
572,Ireland,Somewhere In Europe,Liam Reilly,1990,0.17414248,17,2,0.17414248
573,Iceland,Eitt Lag Enn,Stjórnin,1990,0.16358839,8,4,0.16358839
574,Spain,Bandido,Azúcar Moreno,1990,0.12664908,1,5,0.12664908
575,United Kingdom,Give A Little Love Back To The World,Emma,1990,0.114775725,7,6,0.114775725
576,Yugoslavia,Hajde Da Ludujemo,Tajci,1990,0.10686016,15,7,0.10686016
577,Denmark,Hallo Hallo,Lonnie Devantier,1990,0.08443272,11,8,0.08443272
578,Germany,Frei Zu Leben,Chris Kempers & Daniel Kovac,1990,0.079155676,13,9,0.079155676
579,Austria,Keine Mauern Mehr,Simone,1990,0.07651715,20,10,0.07651715
580,Switzerland,Musik Klingt In Die Welt Hinaus,Egon Egemann,1990,0.06728232,12,11,0.06728232
581,Belgium,Macédomienne,Philippe Lafontaine,1990,0.060686015,3,12,0.060686015
582,Luxembourg,Quand Je Te Rêve,Céline Carzo,1990,0.050131924,6,13,0.050131924
583,Cyprus,Milas Poli,Haris Anastasiou,1990,0.047493402,21,14,0.047493402
584,Netherlands,Ik Wil Alles Met Je Delen,Maywood,1990,0.03298153,5,15,0.03298153
585,Sweden,Som En Vind,Edin-Ådahl,1990,0.03166227,18,16,0.03166227
586,Turkey,Gözlerinin Hapsindeyim,Kayahan,1990,0.027704485,4,17,0.027704485
587,Israel,Shara Barechovot,Rita,1990,0.02110818,10,18,0.02110818
588,Greece,Horis Skopo,Christos Callow & Wave,1990,0.014511873,2,19,0.014511873
589,Portugal,Há Sempre Alguém,Nucha,1990,0.0118733505,16,20,0.0118733505
590,Norway,Brandenburger Tor,Ketil Stokkan,1990,0.01055409,9,21,0.01055409
591,Finland,Fri?,Beat,1990,0.01055409,22,21,0.01055409
592,Sweden,Fångad Av En Stormvind,Carola,1991,0.19261214,8,1,0.19261214
593,France,C'est Le Dernier Qui A Parlé Qui A Raison,Amina,1991,0.19261214,9,2,0.19261214
594,Israel,Kan,Duo Datz,1991,0.18337731,15,3,0.18337731
595,Spain,Bailar Pegados,Sergio Dalma,1991,0.15699208,19,4,0.15699208
596,Switzerland,Canzone Per Te,Sandra Simó,1991,0.15567282,5,5,0.15567282
597,Malta,Could It Be,Paul Giordimaina & Georgina,1991,0.13984169,3,6,0.13984169
598,Italy,Comme E' Ddoce 'o Mare,Peppino di Capri,1991,0.11741425,22,7,0.11741425
599,Portugal,Lusitana Paixão,Dulce,1991,0.081794195,12,8,0.081794195
600,Cyprus,S.O.S.,Elena Patroclou,1991,0.079155676,21,9,0.079155676
601,Ireland,Could It Be That I'm In Love,Kim Jackson,1991,0.062005278,11,10,0.062005278
602,United Kingdom,A Message To Your Heart,Samantha Janus,1991,0.062005278,20,10,0.062005278
603,Turkey,Iki Dakika,"Izel Çeliköz, Rayhan Soykarçi & Can Ugurluér",1991,0.058047492,10,12,0.058047492
604,Greece,I Anixi,Sofia Vossou,1991,0.047493402,4,13,0.047493402
605,Luxembourg,Un Baiser Volé,Sarah Bray,1991,0.038258575,7,14,0.038258575
606,Iceland,Nina,Stefán & Eyfi,1991,0.034300793,2,15,0.034300793
607,Belgium,Geef Het Op,Clouseau,1991,0.030343007,18,16,0.030343007
608,Norway,Mrs. Thompson,Just 4 Fun,1991,0.018469658,14,17,0.018469658
609,Germany,Dieser Traum Darf Niemals Sterben,Atlantis 2000,1991,0.013192612,17,18,0.013192612
610,Denmark,Lige Der Hvor Hjertet Slår,Anders Frandsen,1991,0.01055409,13,19,0.01055409
611,Finland,Hullu Yö,Kaija,1991,0.007915568,16,20,0.007915568
612,Yugoslavia,Brazil,Baby Doll,1991,0.0013192613,1,21,0.0013192613
613,Austria,Venedig Im Regen,Thomas Forstner,1991,0.0,6,22,0.0
614,Ireland,Why Me,Linda Martin,1992,0.20448549,17,1,0.20448549
615,United Kingdom,One Step Out Of Time,Michael Ball,1992,0.18337731,16,2,0.18337731
616,Malta,Little Child,Mary Spiteri,1992,0.16226913,10,3,0.16226913
617,Italy,Rapsodia,Mia Martini,1992,0.14643799,19,4,0.14643799
618,Greece,Olou Tou Kosmou tin Elpida,Cleopatra,1992,0.124010555,5,5,0.124010555
619,Israel,Ze Rak Sport,Dafna,1992,0.112137206,3,6,0.112137206
620,Iceland,Nei Eða Já,Heart 2 Heart,1992,0.105540894,11,7,0.105540894
621,France,Monté La Riviè,Kali,1992,0.09630607,6,8,0.09630607
622,Netherlands,Wijs Me De Weg,Humphrey Campbell,1992,0.0883905,23,9,0.0883905
623,Austria,Zusammen Geh'n,Tony Wegas,1992,0.083113454,15,10,0.083113454
624,Cyprus,Teriazoume,Evridiki,1992,0.07519789,9,11,0.07519789
625,Denmark,Alt Det Som Ingen Ser,Kenny & Lotte,1992,0.062005278,18,12,0.062005278
626,Yugoslavia,Ljubim Te Pesmama,Extra Nena,1992,0.058047492,20,13,0.058047492
627,Spain,Todo Esto Es La Música,Serafin,1992,0.048812665,1,14,0.048812665
628,Switzerland,Mister Music Man,Daisy Auvray,1992,0.04221636,13,15,0.04221636
629,Germany,Träume Sind Für Alle Da,Wind,1992,0.035620052,22,16,0.035620052
630,Portugal,Amor D'água Fresca,Diná,1992,0.034300793,8,17,0.034300793
631,Norway,Visjoner,Merethe Trøan,1992,0.030343007,21,18,0.030343007
632,Turkey,Yaz Bitti,Aylin Vatankos,1992,0.022427442,4,19,0.022427442
633,Belgium,Nous On Veut Des Violons,Morgane,1992,0.014511873,2,20,0.014511873
634,Luxembourg,Sou Fräi,Marion Welter and Kontinent,1992,0.013192612,14,21,0.013192612
635,Sweden,I Morgon är En Annan Dag,Christer Björkman,1992,0.0118733505,7,22,0.0118733505
636,Finland,Yamma Yamma,Pave,1992,0.005277045,12,23,0.005277045
637,Ireland,In Your Eyes,Niamh Kavanagh,1993,0.24670185,14,1,0.24670185
638,United Kingdom,Better The Devil You Know,Sonia,1993,0.21635884,19,2,0.21635884
639,Switzerland,"Moi, Tout Simplement",Annie Cotton,1993,0.19525066,4,3,0.19525066
640,France,Mama Corsica,Patrick Fiori,1993,0.15963061,12,4,0.15963061
641,Norway,Alle Mine Tankar,Silje Vige,1993,0.15831135,25,5,0.15831135
642,Netherlands,Vrede,Ruth Jacott,1993,0.12137203,20,6,0.12137203
643,Sweden,Eloïse,Arvingarna,1993,0.11741425,13,7,0.11741425
644,Malta,This Time,William Mangion,1993,0.091029026,8,8,0.091029026
645,Greece,"Ellada, Hora Tou Fotos",Kaiti Garbi,1993,0.08443272,6,9,0.08443272
646,Portugal,A Cidade Até Ser Dia,Anabela,1993,0.079155676,11,10,0.079155676
647,Spain,Hombres,Eva Santamaria,1993,0.07651715,22,11,0.07651715
648,Italy,Sole D'europa,Enrico Ruggeri,1993,0.059366755,1,12,0.059366755
649,Iceland,þá Veistu Svarið,Inga,1993,0.05540897,9,13,0.05540897
650,Austria,Maria Magdalena,Tony Wegas,1993,0.04221636,10,14,0.04221636
651,Croatia,Don't Ever Cry,Put,1993,0.040897097,21,15,0.040897097
652,Bosnia & Herzegovina,Sva Bol Svijeta,Fazla,1993,0.035620052,18,16,0.035620052
653,Finland,Tule Luo,Katri-Helena,1993,0.026385223,17,17,0.026385223
654,Germany,Viel Zu Weit,Münchener Freiheit,1993,0.023746701,3,18,0.023746701
655,Cyprus,Mi Stamatas,Kyriakos Zymboulakis & Demos Van Beke,1993,0.022427442,23,19,0.022427442
656,Luxembourg,Donne-moi Une Chance,Modern Times,1993,0.014511873,15,20,0.014511873
657,Turkey,Esmer Yarim,"Burak Aydos, Öztürk Baybora & Serter",1993,0.013192612,2,21,0.013192612
658,Denmark,Under Stjernerne På Himlen,Tommy Seebach Band,1993,0.0118733505,5,22,0.0118733505
659,Slovenia,Tih deževen dan,1X Band,1993,0.0118733505,16,22,0.0118733505
660,Israel,Shiru,Lakahat Shiru,1993,0.005277045,24,24,0.005277045
661,Belgium,Iemand Als Jij,Barbara,1993,0.003957784,7,25,0.003957784
662,Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,1994,0.29815304,3,1,0.29815304
663,Poland,To Nie Ja!,Edyta Górniak,1994,0.21899736,24,2,0.21899736
664,Germany,Wir Geben 'ne Party,MeKaDo,1994,0.16886544,14,3,0.16886544
665,Hungary,Kinek Mondjam El Vétkeimet,Friderika Bayer,1994,0.16094987,22,4,0.16094987
666,Malta,More Than Love,Moira Stafrace & Christopher Scicluna,1994,0.12796834,12,5,0.12796834
667,Norway,Duett,Elisabeth Andreasson & Jan Werner Danielsen,1994,0.10026385,17,6,0.10026385
668,France,Je Suis Un Vrai Garçon,Nina Morato,1994,0.09762533,25,7,0.09762533
669,Portugal,Chamar A Música,Sara Tavares,1994,0.09630607,8,8,0.09630607
670,Russia,Vechni Stranik,Youddiph,1994,0.092348285,23,9,0.092348285
671,United Kingdom,We Will Be Free (Lonely Symphony),Frances Ruffelle,1994,0.083113454,6,10,0.083113454
672,Cyprus,Ime Anthropos Ke Ego,Evridiki,1994,0.06728232,4,11,0.06728232
673,Iceland,Nætur,Sigga,1994,0.0646438,5,12,0.0646438
674,Sweden,Stjärnorna,Marie Bergman & Roger Pontare,1994,0.06332454,1,13,0.06332454
675,Greece,To Trehantiri,Costas Bigalis and the Sea Lovers,1994,0.058047492,19,14,0.058047492
676,Bosnia & Herzegovina,Ostani Kraj Mene,Alma & Dejan,1994,0.051451188,18,15,0.051451188
677,Croatia,Nek'ti Bude Ljubav Sva,Tony Cetinski,1994,0.035620052,7,16,0.035620052
